SOURCE,LINEAR_FEATURE_ID,WATERBODY_POLY_ID,NAMED_WATERSHED_ID,GNIS_ID,GNIS_NAME,FWA_WATERSHED_CODE,WATERSHED_CODE_50K,AREA_HA,DOWNSTREAM_PATH,WATERBODY_TYPE,WATERSHED_GROUP_CODE,CENTROID_LATITUDE,CENTROID_LONGITUDE
BCFWA,701346153,,7008,10014,Anderson Creek,100-088370,100,2059.395402,Fraser River,Creek,HARR,49.18154802,-121.7341713
BCFWA,702285357,,10632,38945,Craibenn Creek,100-828548,100,781.5602927,Fraser River,Creek,MORK,53.32958573,-120.2525096
BCFWA,701650957,,11541,39325,Fraser River,100,100,23152373.95,,River,LFRA,52.34752826,-122.3282253
BCFWA,701348206,,9341,8009,Gravel Slough,100-072260,100,9550.817225,Fraser River,Slough,HARR,49.16814768,-121.8359145
BCFWA,702173789,,8046,25530,McGregor River,100-639480,100,552229.9136,Fraser River,River,MORK,54.18445259,-121.066942
BCFWA,701348609,,10050,23402,Norrish Creek,100-066153,100,12102.73932,Fraser River,Creek,HARR,49.26089504,-122.1167106
BCFWA,702172887,,8887,24796,Olsson Creek,100-632588,100,27339.80094,Fraser River,Creek,MORK,54.31048849,-122.1913724
BCFWA,701338261,,10697,22472,Wahleach Creek,100-100401,100,13024.79486,Fraser River,Creek,HARR,49.23690017,-121.5964851
BCFWA,701651557,,2846,29381,Woodward Slough,100-003688,100,905.2307998,Fraser River,Slough,LFRA,49.13338401,-123.1194395
BCFWA,701345208,,1619,15333,Harrison River,100-077501,110,842960.3545,Fraser River,River,HARR,50.09077575,-122.6060043
BCFWA,701706851,,9679,7631,Green River,100-077501-955583-455209,119,87483.08324,Lillooet River > Harrison River > Fraser River,River,LILL,50.22347049,-122.9940988
BCFWA,701687813,,3174,37303,Mowich Creek,100-077501-955583-618134,119,1684.935711,Lillooet River > Harrison River > Fraser River,Creek,LILL,50.53987641,-122.9927787
BCFWA,703314561,,8575,8675,South Thompson River,100-190442-999098,120,1748122.924,Thompson River > Fraser River,River,THOM,50.85781684,-119.1436754
BCFWA,701187600,,10267,39492,Thompson River,100-190442,120,5585653.894,Fraser River,River,FRCN,51.16879446,-120.0483589
BCFWA,703034419,,8400,33426,Little River,100-190442-999098-995997,128,1546811.251,South Thompson River > Thompson River > Fraser River,River,STHM,50.88772228,-119.0340931
BCFWA,703779691,,7700,17657,Avola Creek,100-190442-998192-563468,129,586.0073678,North Thompson River > Thompson River > Fraser River,Creek,UNTH,51.78220136,-119.3533669
BCFWA,703711762,,1716,15147,McAndrew Creek,100-190442-998192-966864,129,2276.911483,North Thompson River > Thompson River > Fraser River,Creek,UNTH,52.60535146,-119.6913866
